Lesson Name,Lesson Link,Collection ID
Chapters 1-7,/lists/1779379,1341
Chapters 8-14,/lists/1779396,1341
Chapters 15-21,/lists/1779408,1341
Chapters 22-28,/lists/1779465,1341
Chapters 29-35,/lists/1779492,1341
Chapters 1–2,/lists/6525066,1342
Chapters 3–5,/lists/6525068,1342
Chapters 6–7,/lists/6525069,1342
Chapters 8–11,/lists/6525073,1342
Chapters 12–15,/lists/6525075,1342
List 1,/lists/5415023,1343
List 2,/lists/5423550,1343
List 3,/lists/5633749,1343
List 4,/lists/5728526,1343
List 5,/lists/5731004,1343
"""Before""–Chapter 3",/lists/9124876,1344
Chapters 4–8,/lists/9124877,1344
Chapters 9–14,/lists/9124878,1344
Chapters 15–19,/lists/9124879,1344
Chapters 1–2,/lists/7569623,1345
Chapter 3,/lists/7569625,1345
Chapters 4–5,/lists/7569633,1345
Chapter 6,/lists/7569637,1345
Chapter 7–Epilogue,/lists/7569644,1345
Part One,/lists/7165830,1346
Part Two,/lists/7165846,1346
Part Three,/lists/7165856,1346
Part I,/lists/943044,1347
Part II,/lists/943080,1347
Part III,/lists/943128,1347
Chapter 1,/lists/8263246,1348
Chapter 2,/lists/8263254,1348
Chapter 3,/lists/8263255,1348
Chapter 4,/lists/8263259,1348
Chapters 5–6,/lists/8263262,1348
List 1,/lists/2857667,1349
List 2,/lists/2857674,1349
List 3,/lists/2857675,1349
List 4,/lists/2857678,1349
Prologue–Chapter 18,/lists/8961908,1350
Chapters 19–36,/lists/8961909,1350
Chapters 37–64,/lists/8961911,1350
Chapters 65–91,/lists/8961912,1350
Chapters 1–7,/lists/6904582,1351
Chapters 8–15,/lists/6904586,1351
Chapters 16–23,/lists/6904587,1351
Chapters 24–32,/lists/6904589,1351
"""The Little Mermaid"" by Hans Christian Andersen",/lists/9341939,1352
"""The Ugly Duckling"" by Hans Christian Andersen",/lists/9341967,1352
"""The Emperor's New Suit"" by Hans Christian Andersen",/lists/9341954,1352
"""The Snow Queen"" by Hans Christian Andersen",/lists/9342000,1352
"""Thumbelina"" by Hans Christian Andersen",/lists/9342008,1352
"""The Brave Tin Soldier"" by Hans Christian Andersen",/lists/9342074,1352
"""The Nightingale"" by Hans Christian Andersen",/lists/9342061,1352
"""The Red Shoes"" by Hans Christian Andersen",/lists/9342085,1352
"""The Little Match-seller"" by Hans Christian Andersen",/lists/9342096,1352
Introduction and Chapter 1,/lists/2009850,1353
Chapters 2-4,/lists/2010845,1353
Chapters 5-8,/lists/2011044,1353
Chapters 9-11,/lists/2011152,1353
Part One,/lists/7833443,1354
Part Two,/lists/7833445,1354
Part Three,/lists/7833447,1354
Chapters 1–2,/lists/281759,1355
Chapters 3–6,/lists/281763,1355
Chapters 7–10,/lists/281773,1355
Chapters 11–14,/lists/281780,1355
Chapters 15–21,/lists/281784,1355
Positive Words to Describe a Person,/lists/7910520,1356
More Positive Words to Describe a Person,/lists/7910522,1356
Negative Words to Describe a Person,/lists/7914743,1356
More Negative Words to Describe a Person,/lists/7914970,1356
Even More Negative Words to Describe a Person,/lists/7921673,1356
Chapters 1–15,/lists/9293342,1357
Chapters 16–26,/lists/9293343,1357
Chapters 27–46,/lists/9293344,1357
"This Week In Words: August 31–September 6, 2019",/lists/6129135,1358
"This Week In Culture: August 31–September 6, 2019",/lists/6129089,1358
"This Week In Words: September 7–13, 2019",/lists/6153896,1358
"This Week In Culture, September 7–13, 2019",/lists/6153894,1358
"This Week in Words: September 14–20, 2019",/lists/6164278,1358
"This Week In Culture: September 14–20, 2019",/lists/6164549,1358
"This Week in Words: September 21–27, 2019",/lists/6186094,1358
"This Week in Culture: September 21–27, 2019",/lists/6186036,1358
Story I,/lists/9239228,1359
Story II,/lists/9239231,1359
Story III,/lists/9239232,1359
Story IV,/lists/9239233,1359
Story V,/lists/9239234,1359
Story VI,/lists/9241004,1359
Chapters 1–3,/lists/2365330,1360
Chapters 4–5,/lists/2365430,1360
Chapters 6–7,/lists/2365457,1360
Chapters 8–9,/lists/2365473,1360
Chapters 10–12,/lists/2365491,1360
List 1,/lists/6446461,1361
List 2,/lists/6446462,1361
List 3,/lists/6446463,1361
List 4,/lists/6446464,1361
Chapters 1–2,/lists/8416124,1362
Chapters 3–4,/lists/8416128,1362
Chapters 5–7,/lists/8416131,1362
Chapters 8–10,/lists/8416135,1362
Chapters 11–15,/lists/8416140,1362
Chapters 1–3,/lists/7914545,1363
Chapters 4–6,/lists/7914547,1363
Chapters 7–10,/lists/7914548,1363
Chapters 11–16,/lists/7914550,1363
Chapters 17–19,/lists/7914551,1363
Chapters 1–8,/lists/6375265,1364
Chapters 9–16,/lists/6375267,1364
Chapters 17–23,/lists/6375269,1364
Chapters 24–32,/lists/6375274,1364
Chapter 33–Post Postscript,/lists/6375279,1364
Chapters 1–8,/lists/243454,1365
Chapters 9–18,/lists/243618,1365
