Link,Category,Number Of Categories
/lists/22f5x52u/bunnicula,"Grade 6,Grade 7,Grade 8,Literature,Just for Fun",5
/lists/23diw7dx/ripped-from-the-headlines-february-2024,Events,1
/lists/242oy3um/ielts-exam-travel-and-transportation,Test-Prep,1
/lists/24bju2wr/life-and-crimes-of-hoodie-rosen,Literature,1
/lists/24ththlj/saints-of-the-household,Literature,1
/lists/25x6nyvl/absolutely-normal-chaos,"Grade 8,Literature",2
/lists/265ww6au/americas-battle-of-the-books-grades-46,Literature,1
/lists/26dacaqp/butterfly-yellow,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",5
/lists/2b5pncfv/kite-fighters,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",9
/lists/2bzle7d4/honestly-elliott,"Grade 5,Literature",2
/lists/2c5bqncg/epic-fail-of-arturo-zamora,"Literature,Non-Fiction",2
/lists/2cqtjfpv/thing-about-luck,Literature,1
/lists/2d6vdste/aristotle-and-dante-dive-into-the-waters-of-the-world,Literature,1
/lists/2dij7yjy/blood-water-paint,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",5
/lists/2dwh5nrs/cardboard-kingdom,"Grade 5,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",8
/lists/2e2j7oqx/kindred,"Grade 9,Grade 10,Grade 11,Grade 12,Literature,Just for Fun",6
/lists/2edf23an/our-only-may-amelia,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",9
/lists/2eozgdrf/my-life-with-the-chimpanzees,"Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",6
/lists/2eu3j24h/selected-short-stories-of-h-g-wells,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",8
/lists/2g2c3ynd/of-mice-and-men,"Grade 9,Grade 11,Literature",3
/lists/2hdagiid/mississippi-trial-1955,"Grade 6,Grade 7,Grade 8,Literature",4
/lists/2hejxe37/glory-field,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",8
/lists/2heoc2th/love-from-a-to-z,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",8
/lists/2htbte3a/its-kind-of-a-funny-story,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",5
/lists/2hwkcqlb/monster,"Grade 9,Literature",2
/lists/2i2p67wx/refugee,"Grade 6,Grade 7,Grade 8,Literature,Non-Fiction",5
/lists/2iafniek/rez-dogs,"Grade 5,Literature",2
/lists/2ja7wqet/family-romanov,Non-Fiction,1
/lists/2jynkjxz/when-the-angels-left-the-old-country,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",8
/lists/2l2daxm3/black-boy,"Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",8
/lists/2l44yk6q/this-was-our-pact,"Grade 5,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",7
/lists/2lgaf7vq/king-of-the-mound,Literature,1
/lists/2lje57q7/mr-poppers-penguins,"Grade 6,Grade 7,Grade 8,Literature",4
/lists/2ljn37ry/apple,"Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",8
/lists/2n4bmbvg/last-cuentista,"Grade 6,Grade 7,Grade 8",3
/lists/2nlywnbn/selected-short-stories-of-flannery-oconnor,Grade 12,1
/lists/2nos3fzy/contender,Literature,1
/lists/2nuks26g/dubliners,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",8
/lists/2pirsx5q/early-departures,Literature,1
/lists/2puwfsam/roll-of-thunder-hear-my-cry,"Grade 5,Grade 6,Grade 7,Grade 8,Literature",5
/lists/2rdboxdq/passage-to-india,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",8
/lists/2rhlxr7x/pygmalion,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",8
/lists/2rie432r/amari-and-the-great-game,"Grade 5,Literature",2
/lists/2rkmp7e3/shane,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",5
/lists/2rui7ryj/cricket-in-times-square,"Grade 6,Grade 7,Grade 8,Literature",4
/lists/2ruvhtkd/ripped-from-the-headlines-november-2019,Events,1
/lists/2rvbtvjl/two-roads,"Grade 6,Grade 7,Grade 8,Literature,Non-Fiction",5
/lists/2sqqkqm2/evolution-of-calpurnia-tate,"Grade 5,Grade 6,Grade 7,Grade 8,Literature",5
/lists/2tbgvhmm/root-magic,Literature,1
/lists/2u3daqac/whirligig,Grade 9,1
/lists/2u66edk7/witches,Literature,1
/lists/2uikpfgv/harry-potter-and-the-order-of-the-phoenix,Literature,1
/lists/2v2w6pjn/150-words-every-5th-grader-should-know,Grade 5,1
/lists/2v45ocvp/oedipus-at-colonus,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",5
/lists/2vk2ufbb/marcus-vega-doesnt-speak-spanish,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",9
/lists/2w43qhtk/woman-in-white,Just for Fun,1
/lists/2wd4tpoc/sir-gawain-and-the-green-knight,"Grade 12,Literature",2
/lists/2wmnhqzo/suffix-ism,Roots & Affixes,1
/lists/2xecodad/commonly-confused-words-grade-7,Grade 7,1
/lists/2xi2vguo/other-wes-moore,"Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",5
/lists/2xsie3i7/first-man-the-life-of-neil-a-armstrong,"Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",5
/lists/2z2huuiv/appetite-for-instruction,"Grade 9,Grade 10,Just for Fun",3
/lists/2zikuavr/thirteen-reasons-why,"Grade 9,Grade 10,Grade 11,Grade 12",4
/lists/33febwmy/dig,Grade 11,1
/lists/34cai3ov/girl-i-am-was-and-never-will-be,Literature,1
/lists/34jlkcgi/diary-of-a-young-girl,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction,Just for Fun",11
/lists/355rpybm/little-brother,Grade 12,1
/lists/355t65nl/boy-tales-of-childhood,"Grade 5,Non-Fiction",2
/lists/35fy4at4/unsung-hero-of-birdsong-usa,"Grade 6,Grade 7,Grade 8,Literature",4
/lists/36dcwn7g/great-gatsby,"Grade 11,Literature",2
/lists/36odwfje/room-of-ones-own,"Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",5
/lists/36pi5wam/writing-in-the-classroom-high-school,"Grade 9,Grade 10,Grade 11,Grade 12",4
/lists/37woga72/vanderbeekers-of-141st-street,Literature,1
/lists/3au3smoc/bluest-eye,"Grade 11,Grade 12,Literature",3
/lists/3b7lwwov/school-for-good-and-evil,"Grade 6,Grade 7,Grade 8,Literature",4
/lists/3bynocr4/while-the-world-watched,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",8
/lists/3cqyhv5k/girl-who-drank-the-moon,"Grade 7,Literature",2
/lists/3cxddzde/other-side,"Literature,Non-Fiction",2
/lists/3dthovmr/huntress,Literature,1
/lists/3hkftev5/harriet-the-spy,Grade 5,1
/lists/3i2pgclf/fountains-of-silence,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",8
/lists/3i4pmtfx/p-s-be-eleven,"Grade 5,Grade 6,Grade 7,Grade 8,Literature",5
/lists/3i64xz5w/summer-of-bitter-and-sweet,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",8
/lists/3imjexrf/stuart-little,"Grade 5,Grade 6,Grade 7,Grade 8,Just for Fun",5
/lists/3inajs4g/aminas-voice,"Literature,Non-Fiction",2
