Title,Subtitle,Description,Thumbnail Link,Book Purchase Link,Author,Category,Link
Bunnicula,,"In this classic novel, Chester the cat is convinced that his family's new pet rabbit is a vampire.",https://cdn.vocabulary.com/units/22f5x52u/cover.jpeg?width=220&v=16c636a7c0d,https://www.amazon.com/dp/1416928170?tag=vocabulary01-20,Deborah Howe,"Grade 6,Grade 7,Grade 8,Literature,Just for Fun",/lists/22f5x52u/bunnicula
Ripped from the Headlines: February 2025,Our Weekly Roundups of Current Events Vocabulary,"Each week, we peruse the news to give you a word’s-eye view of what’s happening in the world. Here are some of our favorite examples from current events and culture stories. Whether you’re a news nerd, a word nerd, or you just like learning, these lists are a fun way to wrap up your week.",https://cdn.vocabulary.com/units/23diw7dx/feature.png?width=500&v=19549779648,,,Events,/lists/23diw7dx/ripped-from-the-headlines-february-2024
Travel and Transportation,,"With a strong grasp of travel vocabulary, you'll be well-prepared to navigate through the different sections of the IELTS exam. This collection of words can help you build a comprehensive vocabulary that will help you understand passages in the reading and listening sections, and it can help you fluently communicate about travel-related topics in the writing and speaking sections. Study this collection and watch your IELTS score really take off!",https://cdn.vocabulary.com/units/242oy3um/feature.png?width=500&v=189adaa6610,,,Test-Prep,/lists/242oy3um/ielts-exam-travel-and-transportation
The Life and Crimes of Hoodie Rosen,,"Following a wave of antisemitic attacks, fifteen-year-old Orthodox Jew Hoodie Rosen faces the ire of his family and community when he falls in love with a non-Jewish girl.",https://cdn.vocabulary.com/units/24bju2wr/cover.jpg?width=220&v=1848cd57b74,https://www.amazon.com/dp/0593525825?tag=vocabulary01-20,Isaac Blum,Literature,/lists/24bju2wr/life-and-crimes-of-hoodie-rosen
Saints of the Household,,"Descendants of the Bribri tribe from Costa Rica, teenage brothers Jay and Max Ortiz must deal with the consequences of their violent action in the Minnesota woods.",https://cdn.vocabulary.com/units/24ththlj/cover.png?width=220&v=18e869972cd,https://www.amazon.com/dp/0374389497?tag=vocabulary01-20,Ari Tison,Literature,/lists/24ththlj/saints-of-the-household
Absolutely Normal Chaos,,"In this prequel to Walk Two Moons, thirteen-year-old Mary Lou Finney documents an eventful summer.",https://cdn.vocabulary.com/units/25x6nyvl/cover.jpeg?width=220&v=16c8c629c98,https://www.amazon.com/dp/0064406326?tag=vocabulary01-20,Sharon Creech,"Grade 8,Literature",/lists/25x6nyvl/absolutely-normal-chaos
Butterfly Yellow,,Eighteen-year-old Hằng makes a difficult journey to America to find the brother from whom she was separated during the Vietnam War.,https://cdn.vocabulary.com/units/26dacaqp/cover.jpeg?width=220&v=173ee726cd8,https://www.amazon.com/dp/0062229214?tag=vocabulary01-20,Thanhha Lai,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/26dacaqp/butterfly-yellow
The Kite Fighters,,"In 15th-century Korea, brothers Kee-sup and Young-sup impress the king with their ability to construct and fly kites.",https://cdn.vocabulary.com/units/2b5pncfv/cover.jpg?width=220&v=17bcb89ebd5,https://www.amazon.com/dp/054732863X?tag=vocabulary01-20,Linda Sue Park,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/2b5pncfv/kite-fighters
Honestly Elliott,,"Faced with uncomfortable changes in his life, sixth grader Elliott Quigley Sawyer knows that the best thing for him to focus on is cooking.",https://cdn.vocabulary.com/units/2bzle7d4/cover.png?width=220&v=188c5c5381e,https://www.amazon.com/dp/1547606258?tag=vocabulary01-20,Gillian McDunn,"Grade 5,Literature",/lists/2bzle7d4/honestly-elliott
The Epic Fail of Arturo Zamora,,"When a land developer unveils plans to raze a local eatery, thirteen-year-old Arturo must prove how important his family's restaurant is to his community.",https://cdn.vocabulary.com/units/2c5bqncg/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/B01KUQSQVI?tag=vocabulary01-20,Pablo Cartaya,"Literature,Non-Fiction",/lists/2c5bqncg/epic-fail-of-arturo-zamora
