Title,Subtitle,Description,Thumbnail Link,Book Purchase Link,Author,Category,Link
Once There Was,,"When she suddenly inherits a veterinary clinic in California, fifteen-year-old Marjan Dastani discovers the truths behind her father's stories about magical creatures.",https://cdn.vocabulary.com/units/mzr6d6i5/cover.png?width=220&v=18e7bad176d,https://www.amazon.com/dp/1665928514?tag=vocabulary01-20,Kiyash Monsef,Literature,/lists/mzr6d6i5/once-there-was
Outliers,,"Nonfiction writer Malcolm Gladwell theorizes about the surprising circumstances that create exceptional, successful people.",https://cdn.vocabulary.com/units/n2abcnfm/cover.jpeg?width=220&v=16c9030f195,https://www.amazon.com/dp/0316017930?tag=vocabulary01-20,Malcolm Gladwell,"Grade 10,Non-Fiction",/lists/n2abcnfm/outliers
Where You See Yourself,,"Born with cerebral palsy and needing a wheelchair to get around her Minneapolis neighborhood, high school senior Euphemia Galanos dreams of a career in digital media, but the college that would best prepare her is located in a city that does not seem accessible.",https://cdn.vocabulary.com/units/n2we6g3j/cover.jpg?width=220&v=192e3b0fc89,https://www.amazon.com/dp/B09ZP5YX9M?tag=vocabulary01-20,Claire Forrest,Literature,/lists/n2we6g3j/where-you-see-yourself
You Should See Me in a Crown,,A high school student campaigns to be prom queen in the hopes of winning a college scholarship.,https://cdn.vocabulary.com/units/n37ovkky/cover.jpeg?width=220&v=176775f64e6,https://www.amazon.com/dp/133850326X?tag=vocabulary01-20,Leah Johnson,Literature,/lists/n37ovkky/you-should-see-me-in-a-crown
Turtle Boy,,A seventh grader begins to come out of his shell after he forms an unexpected bond with a terminally ill teen.,https://cdn.vocabulary.com/units/n3j3tqj2/cover.jpeg?width=220&v=17c51194f5d,https://www.amazon.com/dp/0593121597?tag=vocabulary01-20,M. Evan Wolkenstein,"Grade 5,Literature",/lists/n3j3tqj2/turtle-boy
These Violent Delights,,"In this reimagining of Romeo and Juliet set in Shanghai in the 1920s, two teens from rival gangs must work together to end a feud.",https://cdn.vocabulary.com/units/n3ltvrri/cover.jpeg?width=220&v=17c12eaeb50,https://www.amazon.com/dp/1534457690?tag=vocabulary01-20,Chloe Gong,Literature,/lists/n3ltvrri/these-violent-delights
The War That Saved My Life,,"During World War II, ten-year-old Ada and her brother are sent from London to the countryside, where Ada experiences freedom and kindness for the first time.",https://cdn.vocabulary.com/units/n3trohjg/cover.jpeg?width=220&v=174314e5dfe,https://www.amazon.com/dp/0147510481?tag=vocabulary01-20,Kimberly Brubaker Bradley,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/n3trohjg/war-that-saved-my-life
"""Said"" Is Dead",Ditch Dull Dialogue with These Descriptive Terms for Talking,"Looking for alternatives to the utilitarian but ubiquitous ""said""? Say no more! Explore this collection of evocative words to add drama and depth to your dialogue.",https://cdn.vocabulary.com/units/n3wg3knp/feature.png?width=500&v=194899e67e5,,,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Just for Fun",/lists/n3wg3knp/said-is-dead
Reef Awareness Day,,"Dive into the splash-tacular celebration of Reef Awareness Day (June 1) and make a fin-tastic difference for our underwater friends! With coral reefs facing phenomenal challenges, this event is here to make waves and spread the message of conservation. Join the party by jumping into this collection of vocabulary related to things around the reef.",https://cdn.vocabulary.com/units/n5m456sy/feature.png?width=500&v=188444e0b32,,,Just for Fun,/lists/n5m456sy/reef-awareness-day
Robinson Crusoe,,"After a shipwreck, a man must survive for decades on a remote island. Read the full text here.",https://cdn.vocabulary.com/units/n5tmlu66/cover.jpeg?width=220&v=17836f830c2,https://www.amazon.com/dp/0141439823?tag=vocabulary01-20,Daniel Defoe,"Grade 10,Literature",/lists/n5tmlu66/robinson-crusoe
