Name,Link,Category
150 Words Every 5th Grader Should Know,/lists/2v2w6pjn/150-words-every-5th-grader-should-know,Grade 5
"Commonly Confused Words, Grade 5",/lists/5khonlqz/commonly-confused-words-grade-5,Grade 5
Common Core Vocabulary,/lists/6z3umhtf/grade-5,Grade 5
Foreign Words and Phrases,/lists/7mdntuqn/foreign-words-and-phrases-commonly-used-by-english-speakers,Grade 5
A Wrinkle in Time,/lists/acfgpvmv/wrinkle-in-time,Grade 5
The One and Only Ivan,/lists/wwhbu4wt/one-and-only-ivan,Grade 5
I Can Make This Promise,/lists/vilvbakt/i-can-make-this-promise,Grade 5
The Borrowers,/lists/4rp5gas2/borrowers,Grade 5
Treasure Island,/lists/dtafbzbr/treasure-island,Grade 5
Maniac Magee,/lists/p3xg2wzr/maniac-magee,Grade 5
Harry Potter and the Sorcerer's Stone,/lists/intdwbk3/harry-potter-and-the-sorcerers-stone,Grade 5
The Bad Beginning,/lists/qiaosf4g/bad-beginning,Grade 5
Coraline,/lists/pbs3q2ja/coraline,Grade 5
The Wonderful Wizard of Oz,/lists/qhj5bgwn/wonderful-wizard-of-oz,Grade 5
Bridge to Terabithia,/lists/4edaqdv6/bridge-to-terabithia,Grade 5
Wonder,/lists/qfcsddo4/wonder,Grade 5
A Long Walk to Water,/lists/dq6ut6hu/long-walk-to-water,Grade 5
Miracles on Maple Hill,/lists/knfojn66/miracles-on-maple-hill,Grade 5
Stuart Little,/lists/3imjexrf/stuart-little,Grade 5
Call It Courage,/lists/cjvmol2l/call-it-courage,Grade 5
The Seventh Wish,/lists/esi4rmt7/seventh-wish,Grade 5
The Lightning Thief,/lists/lg2ugvyz/lightning-thief,Grade 5
Number the Stars,/lists/hgng7spy/number-the-stars,Grade 5
The Phantom Tollbooth,/lists/m52r34yc/phantom-tollbooth,Grade 5
Harriet the Spy,/lists/3hkftev5/harriet-the-spy,Grade 5
The Book of Three,/lists/fcddkbfq/book-of-three,Grade 5
Tuck Everlasting,/lists/ibgf4nkz/tuck-everlasting,Grade 5
The War That Saved My Life,/lists/n3trohjg/war-that-saved-my-life,Grade 5
The Incredible Journey,/lists/x7onf73h/incredible-journey,Grade 5
Because of Winn-Dixie,/lists/qm5on7ah/because-of-winn-dixie,Grade 5
Out of the Dust,/lists/kpr4viuz/out-of-the-dust,Grade 5
Roller Girl,/lists/cei2sts5/roller-girl,Grade 5
Inside Out & Back Again,/lists/aqizavry/inside-out-back-again,Grade 5
