Name,Link,Category
,/lists/g7qeq2te/heroes-of-the-water-monster,Literature
The Wishing Spell,/lists/g5wlzkw7/wishing-spell,Literature
Where the Mountain Meets the Moon,/lists/dw3zvtpy/where-the-mountain-meets-the-moon,Literature
There’s Something about Sweetie,/lists/vmpuxvgn/theres-something-about-sweetie,Literature
The Invention of Hugo Cabret,/lists/g4ihj4xd/invention-of-hugo-cabret,Literature
What If It's Us,/lists/77luls7n/what-if-its-us,Literature
The Cardboard Kingdom,/lists/2dwh5nrs/cardboard-kingdom,Literature
The Vanderbeekers of 141st Street,/lists/37woga72/vanderbeekers-of-141st-street,Literature
A Tangle of Knots,/lists/sa45o3qs/tangle-of-knots,Literature
Better Nate Than Ever,/lists/hcxq22fu/better-nate-than-ever,Literature
Heidi,/lists/4vb7hfxz/heidi,Literature
Roller Girl,/lists/cei2sts5/roller-girl,Literature
When Dimple Met Rishi,/lists/ckmr75sq/when-dimple-met-rishi,Literature
Amina's Voice,/lists/3inajs4g/aminas-voice,Literature
The Witch Boy,/lists/ztnipcni/witch-boy,Literature
All's Faire in Middle School,/lists/emdsvep6/alls-faire-in-middle-school,Literature
The Wild Robot,/lists/sisqkbab/wild-robot,Literature
Mr. Popper’s Penguins,/lists/2lje57q7/mr-poppers-penguins,Literature
The Incredible Journey,/lists/x7onf73h/incredible-journey,Literature
Miracles on Maple Hill,/lists/knfojn66/miracles-on-maple-hill,Literature
Snapdragon,/lists/ck4iswgt/snapdragon,Literature
Bob,/lists/d6rmkdu2/bob,Literature
Song for a Whale,/lists/uw6b7exo/song-for-a-whale,Literature
Insignificant Events in the Life of a Cactus,/lists/wlmzsgpd/insignificant-events-in-the-life-of-a-cactus,Literature
"Catherine, Called Birdy",/lists/ea32nzhd/catherine-called-birdy,Literature
Nevermoor,/lists/mfppirsv/nevermoor,Literature
Stardust,/lists/ci3bhrji/stardust,Literature
The First Rule of Punk,/lists/bm2epe35/first-rule-of-punk,Literature
To All the Boys I've Loved Before,/lists/set5ajhr/to-all-the-boys-ive-loved-before,Literature
Simon vs. the Homo Sapiens Agenda,/lists/tohqazcg/simon-vs-the-homo-sapiens-agenda,Literature
Alice's Adventures in Wonderland,/lists/x52pkuxy/alices-adventures-in-wonderland,Literature
Because of Winn-Dixie,/lists/qm5on7ah/because-of-winn-dixie,Literature
The Tale of Despereaux,/lists/gx6gm6sc/tale-of-despereaux,Literature
Pollyanna,/lists/vs7eqkod/pollyanna,Literature
The Hobbit,/lists/uev3qfdv/hobbit,Literature
Tuck Everlasting,/lists/ibgf4nkz/tuck-everlasting,Literature
Daddy-Long-Legs,/lists/pn4hm2zi/daddy-long-legs,Literature
Neighborhood Odes,/lists/jl3gtm4h/neighborhood-odes,Literature
The Miraculous Journey of Edward Tulane,/lists/s2taor7t/miraculous-journey-of-edward-tulane,Literature
The Phantom Tollbooth,/lists/m52r34yc/phantom-tollbooth,Literature
From the Mixed-up Files of Mrs. Basil E. Frankweiler,/lists/tadnjtby/from-the-mixed-up-files-of-mrs-basil-e-frankweiler,Literature
Dumplin',/lists/asxrflyf/dumplin,Literature
Anne of Green Gables,/lists/cg6mfddz/anne-of-green-gables,Literature
Ella Enchanted,/lists/wxuql44w/ella-enchanted,Literature
Wishtree,/lists/eglo323x/wishtree,Literature
The Princess Bride,/lists/vd2fr4yr/princess-bride,Literature
Dragons in a Bag,/lists/umjko5dx/dragons-in-a-bag,Literature
Call Us What We Carry,/lists/nvicmlqn/call-us-what-we-carry,Literature
Me (Moth),/lists/owxvhhmf/me-moth,Literature
"Red, White, and Whole",/lists/njfija5o/red-white-and-whole,Literature
Starfish,/lists/4cqtrkob/starfish,Literature
Home Is Not a Country,/lists/ytcjwlch/home-is-not-a-country,Literature
Rez Dogs,/lists/2iafniek/rez-dogs,Literature
Other Words for Home,/lists/yl2fc4ix/other-words-for-home,Literature
The Poet X,/lists/4rjiqxpc/poet-x,Literature
Inside Out & Back Again,/lists/aqizavry/inside-out-back-again,Literature
Land of the Cranes,/lists/uzltey6f/land-of-the-cranes,Literature
The Crossover,/lists/z4wo6wki/crossover,Literature
Ordinary Hazards,/lists/zgnxrsb4/ordinary-hazards,Literature
They Call Me Güero,/lists/yryl7ppo/they-call-me-guero,Literature
Shout,/lists/rdc24yas/shout,Literature
Brown Girl Dreaming,/lists/esrg7ttd/brown-girl-dreaming,Literature
Blood Water Paint,/lists/2dij7yjy/blood-water-paint,Literature
Long Way Down,/lists/5nhyucmm/long-way-down,Literature
Before the Ever After,/lists/qle3ysxh/before-the-ever-after,Literature
Call Me María,/lists/ccrhqv27/call-me-maria,Literature
Every Body Looking,/lists/js54bsr5/every-body-looking,Literature
The Moon Within,/lists/c3evrtc5/moon-within,Literature
The Red Pencil,/lists/gan64d4y/red-pencil,Literature
Out of the Dust,/lists/kpr4viuz/out-of-the-dust,Literature
Swing,/lists/6dm6iwwp/swing,Literature
Solo,/lists/rnmv3va4/solo,Literature
Home of the Brave,/lists/tagechbu/home-of-the-brave,Literature
Garvey's Choice,/lists/rflbqhvk/garveys-choice,Literature
Bronx Masquerade,/lists/tajkkysz/bronx-masquerade,Literature
Rebound,/lists/pjxluftd/rebound,Literature
White Rose,/lists/h2k2fkij/white-rose,Literature
Locomotion,/lists/l4fd44en/locomotion,Literature
for colored girls who have considered suicide / when the rainbow is enuf,/lists/l65qixpo/for-colored-girls-who-have-considered-suicide-when-the-rainbow-is-enuf,Literature
Old Possum's Book of Practical Cats,/lists/cq3sok2u/old-possums-book-of-practical-cats,Literature
Spoon River Anthology,/lists/c7ugomza/spoon-river-anthology,Literature
A Wreath for Emmett Till,/lists/4tyetrcw/wreath-for-emmett-till,Literature
Hidden Figures,/lists/mvpp2vfg/hidden-figures,Literature
