Name,Link,Category
,/lists/z7oijolz/power-suffixes,Roots & Affixes
,/lists/zhvfrgrz/power-prefixes,Roots & Affixes
,/lists/m5nm36xq/english-words-and-terms-derived-from-french,Roots & Affixes
,/lists/bb4udog5/wide-world-of-word-origins,Roots & Affixes
The Suffix -id,/lists/73tjrqek/suffix-id,Roots & Affixes
The Suffix -or,/lists/q5a3yyd7/its-the-end-of-the-word-as-we-know-it-the-suffix-or,Roots & Affixes
The Suffix -ism,/lists/2wmnhqzo/suffix-ism,Roots & Affixes
The Suffix -ish,/lists/7qpbfd3x/suffix-ish,Roots & Affixes
The Suffix -ic,/lists/pvwygdai/suffix-ic,Roots & Affixes
,/lists/7mdntuqn/foreign-words-and-phrases-commonly-used-by-english-speakers,Roots & Affixes
,/lists/jcmqdia6/essential-word-roots,Roots & Affixes
,/lists/kvnetikm/common-senses,Roots & Affixes
,/lists/ilzl5hfg/we-the-people,Roots & Affixes
,/lists/vboyi3bd/elements-of-the-universe,Roots & Affixes
,/lists/ngnbejaa/body-language,Roots & Affixes
