word,pronunciation
fanatic,/fəˈnætɪk/
scuff,/skəf/
convoy,/ˈkɒnvɔɪ/
esteem,/ɛsˈtim/
static,/ˈstæɾɪk/
grandstand,/ˈgrænstænd/
boastful,/ˈbʌʊstfəl/
vise,/vaɪs/
shrapnel,/ˈʃræpnəl/
rustling,/ˈrʌslɪŋ/
saboteur,/ˌˈsæbəˌˈtʌr/
hesitant,/ˈhɛzɪtɪnt/
canteen,/kænˈtin/
indebted,/ɪnˈdɛtɪd/
barricade,/ˈbærɪkeɪd/
desolate,
riddle,/ˈrɪdəl/
etch,/ɛtʃ/
bangle,/ˈbæŋgəl/
sequin,/ˈsikwɪn/
prosperous,/ˈprɑspərəs/
headmaster,/ˈhɛdmɑstə/
cricket,/ˈkrɪkɪt/
composition,/kɒmpəˈzɪʃən/
garland,/ˈgɑlənd/
ostracize,/ˈɒstrəsaɪz/
abacus,/ˈæbəkəs/
inject,/ɪnˈdʒɛkt/
gash,/gæʃ/
vendor,/ˈvɛndə/
ripple,/ˈrɪpəl/
quiver,/ˈkwɪvə/
refugee,/rɛfjuˈdʒi/
kerchief,/ˈkʌtʃɪf/
fragile,/ˈfrædʒaɪl/
harsh,/hɑʃ/
tapestry,/ˈtæpɪstri/
sari,/ˈsɑri/
jumpy,/ˈdʒʌmpi/
squat,/skwɒt/
rumple,/ˈrʌmpəl/
mutter,/ˈmʌtə/
grave,/ɡɹeɪv/
grime,/graɪm/
defect,
nestle,/ˈnɛsəl/
stutter,/ˈstʌtə/
upright,/ˈʌpraɪt/
gazette,/gəˈzɛt/
presumption,/prəˈzʌmpʃən/
systemic,/sɪsˈtɛmɪk/
consulate,/ˈkɒnsələt/
persevere,/pəsəˈvɪə/
establishment,/ɛsˈtæblɪʃmɛnt/
authentic,/ɔˈθɛntɪk/
enrapture,/ɛnˈræptʃə/
ail,/eɪl/
decline,/dɪˈklɑɪn/
theorem,/ˈθirəm/
weather,/ˈwɛðə/
exclusive,/ɛksˈklusɪv/
nostalgia,/nɒsˈtældʒə/
compassion,/kəmˈpæʃɪn/
ethics,/ˈɛθɪks/
impulse,/ˈɪmpəls/
cascade,/kæsˈkeɪd/
decompose,/dikəmˈpʌʊz/
irritated,/ˈɪrɪteɪtɪd/
collaborate,/kəˈlæbɔreɪt/
stunning,/ˈstʌnɪŋ/
slump,/sləmp/
mode,/məʊd/
dander,/ˈdændə/
theoretical,/θiəˈrɛtɪkəl/
demonstrate,/ˈdɛmənstreɪt/
simulation,/sɪmjuˈleɪʃɪn/
anterior,/ænˈtiriə/
mucus,/ˈmjukəs/
logic,/ˈlɒdʒɪk/
humane,/hjuˈmeɪn/
cassette,/kəˈsɛt/
ban,/bæn/
abide by,/əˈbaɪd baɪ/
reluctant,/rɪˈlʌktɪnt/
pudgy,/ˈpʌdʒi/
resolve,/rɪˈzɑlv/
spite,/spaɪt/
odious,/ˈʌʊdiɪs/
corrupt,/kəˈrʌpt/
juvenile,/ˈʤuvənəl/
sly,/slaɪ/
obsess,/əbˈsɛs/
heft,/hɛft/
psychic,/ˈsaɪkɪk/
prosper,/ˈprɒspə/
dilemma,/daɪˈlɛmə/
perilous,/ˈpɛrɪlɪs/
chronicle,/ˈkrɒnɪkəl/
unanimous,/juˈnænɪməs/
portray,/pɔˈtreɪ/
lewd,/lud/
joist,/dʒɔɪst/
quirk,/kwək/
embellish,/ɪmˈbɛlɪʃ/
incognito,/ɪnkɒgˈnitəʊ/
fanciful,/ˈfænsɪfəl/
oust,/aʊst/
bifurcation,/ˈbaɪfərˌkeɪʃən/
altercation,/ɔltəˈkeɪʃən/
hanker,/ˈhæŋkər/
gimmick,/ˈgɪmɪk/
introspection,/ɪntrəˈspɛkʃən/
parlance,/ˈpɑrləns/
patronizing,/ˈpeɪtrənaɪzɪŋ/
emblazon,/ɛmˈbleɪzən/
tome,/təʊm/
deviation,/diviˈeɪʃən/
medley,/ˈmɛdli/
enigma,/ɛˈnɪgmə/
susceptibility,/səˈsɛptəˌbɪlədi/
distress,/dɪˈstrɛs/
obligatory,/əˈblɪgətɔri/
unresponsive,/ənreˈspɒnsɪv/
denial,/dɪˈnaɪəl/
tenant,/ˈtɛnɛnt/
fatigue,/fəˈtig/
ornithology,/ɔnɪˈθɒlədʒi/
insomnia,/ɪnˈsɒmniə/
soothing,/ˈsuðɪŋ/
pun,/pən/
condolence,/kənˈdʌʊləns/
distracted,/dɪsˈtræktɪd/
distorted,/dɪsˈtɔtɪd/
potential,/pəˈtɛnʃəl/
flirt,/flət/
teeter,/ˈtidər/
