word,pronunciation
convenient,/kənˈviniɛnt/
quotient,/ˈkwʌʊʃənt/
choreograph,/ˈkɒriəgræf/
blurb,/bləb/
necropsy,/ˈnɛkrɑpsi/
purse,/pəs/
epoch,/ˈɪpɒk/
era,/ˈɛrə/
evolution,/ɛvəˈluʃən/
fossil,/ˈfɒsəl/
mammal,/ˈmæməl/
mineral,/ˈmɪnərəl/
organism,/ɔgəˈnɪzəm/
paleontology,/ˈpeɪliˈɑnˌtɑlədʒi/
antonym,/ˈæntənɪm/
connote,/kəˈnoʊt/
definition,/dɛfɪˈnɪʃɪn/
diacritical,/ˌˈdaɪəˌˈkrɪdəkəl/
entry,/ˈɛntri/
lexicographer,/lɛksɪˈkɒgrəfə/
bunt,/bənt/
statistics,/stəˈtɪstɪks/
eldritch,/ˈɛldrɪtʃ/
haunt,/hɔnt/
phantasm,/ˌfænˈtæzəm/
amanuensis,/əˈmænjəˌwɛnsəs/
bibliophile,/ˌbɪbliəˈfaɪl/
book,/bʊk/
colophon,/ˈkɒləˌfɒn/
foreword,/ˈfɔwəd/
volume,/ˈvɔljum/
one,/wən/
den,/dɛn/
ore,/ɔ/
eat,/it/
eta,/ˈiːtə/
ene,
roe,/rəʊ/
eel,/il/
ear,/ɪə/
nee,/neɪ/
end,/ɛnd/
ira,
age,/eɪdʒ/
tie,/taɪ/
ant,/ænt/
spa,/spɑ/
see,/si/
eve,/iv/
ten,/tɛn/
ego,/ˈigəʊ/
net,/nɛt/
art,/ɑt/
tar,/tɑ/
tee,/ti/
tea,/ti/
ice,/aɪs/
oar,/ɔ/
aloe,/ˈæləʊ/
knee,/ni/
anti,/ˈænti/
neon,/ˈniɒn/
oleo,/ˈʌʊleəʊ/
alee,/əˈli/
alas,/əˈlæs/
tsar,/zɑr/
odor,/ˈʌʊdə/
once,/wəns/
star,/stɑ/
iron,/ˈaɪən/
tree,/tri/
edge,/ɛdʒ/
isle,/aɪl/
echo,/ˈɛkəʊ/
alto,/ˈʌltəʊ/
oboe,/ˈʌʊbəʊ/
stir,/stə/
ache,/eɪk/
item,/ˈaɪtəm/
neat,/nit/
arena,/əˈrinə/
erase,/ɛˈreɪs/
enter,/ˈɛntə/
opera,/ˈɒp.əɹ.ə/
alien,/ˈeɪliɪn/
alone,/əˈlʌʊn/
adore,/əˈdɔ/
email,/ˈimeɪl/
orate,/ˈʌʊreɪt/
ocean,/ˈʌʊʃən/
asset,/ˈæsɛt/
otter,/ˈɒtə/
error,/ˈɛrə/
aorta,/eɪˈɔtə/
steer,/stɪə/
agent,/ˈeɪdʒɛnt/
unite,/juˈnaɪt/
easel,/ˈizəl/
aloha,/əˈləʊ.(h)ə/
altimeter,/ælˈtɪmətər/
collage,/ˈkɒlɑʒ/
marauder,/məˈrɔdər/
briny,/ˈbraɪni/
brawn,/brɔn/
hermit,/ˈhʌmɪt/
corruption,/kəˈrʌpʃən/
traitor,/ˈtreɪtə/
brigade,/brɪˈgeɪd/
absorb,/əbˈzɔb/
mercilessly,/ˈmɜrsələsli/
savage,/ˈsævɪdʒ/
clasp,/klɑsp/
trivet,/ˈtrɪvɪt/
indignity,/ɪnˈdɪgnədi/
moderator,/ˈmɒdəreɪtə/
elongate,/ɪˈlɒŋgeɪt/
metabolism,/mɪˈtæbəlɪzəm/
clime,/klaɪm/
whelp,/wɛlp/
contemptible,/kənˈtɛmptɪbəl/
reaper,/ˈripə/
expulsion,/ɛkˈspʌlʃɪn/
frisk,/frɪsk/
uproarious,/ˈʌpˌrɔriəs/
arithmetic,
calculate,/ˈkælkjuleɪt/
distance,/ˈdɪstɛns/
equal,/ˈikwəl/
gallon,/ˈgælən/
increase,
length,/lɛŋθ/
measurement,/ˈmɛʒəmənt/
multiplication,/məltəpləˈkeɪʃɪn/
shape,/ʃeɪp/
subtraction,/səbˈtrækʃən/
decimal,/ˈdɛsɪməl/
denominator,/dɪˈnɒmɪneɪtə/
digit,/ˈdɪdʒɪt/
fraction,/ˈfrækʃən/
integer,/ˈɪntəgə/
numeral,/ˈnumərəl/
numerator,/ˈnuməreɪtə/
percent,/pəˈsɛnt/
product,/ˈprɒdəkt/
property,/ˈprɒpəti/
quart,/kwɔt/
quarter,/ˈkwɔtə/
remainder,/rɪˈmeɪndə/
simplify,/ˈsɪmplɪfaɪ/
solution,/səˈluʃən/
surface,/ˈsʌfɪs/
value,/ˈvælju/
dividend,/ˈdɪvɪdɛnd/
metric,/ˈmɛtrɪk/
multiple,/ˈmʌltɪpəl/
reciprocal,/rɪˈsɪprəkəl/
sequential,/sɪˈkwɛnʃəl/
tangent,/ˈtandʒɪnt/
axis,/ˈæksɪs/
coordinate,
exponent,/ˈɛkˌspoʊnənt/
binomial,/baɪˈnoʊmiəl/
coefficient,/kəʊəˈfɪʃɪnt/
factorization,/ˌfæktərəˈzeɪʃən/
identical,/aɪˈdɛntɪkəl/
intersection,/ɪntəˈsɛkʃən/
parabola,/pəˈræbələ/
polynomial,/ˌpɑˌliˈnoʊmiəl/
absolute value,/ˌˈæbsəˌˈlut ˌvælju/
inverse,/ˈɪnvəs/
logarithm,/ˈlɑɡəˌrɪðəm/
cube,/kjub/
geometry,/dʒiˈɒmətri/
line,/laɪn/
solid,/ˈsɔlɪd/
bisect,/baɪˈsɛkt/
equilateral,/ˌikwəˈlætərəl/
asymptote,/ˌæsəm(p)ˈtoʊt/
hyperbola,/haɪˈpʌrbələ/
column,/ˈkɒləm/
frequency,/ˈfrikwɛnsi/
method,/ˈmɛθəd/
model,/ˈmɒdəl/
pie chart,/paɪ tʃɑt/
quantity,/ˈkwɒntɪti/
sample,/ˈsɑmpəl/
diagnostic,/daɪəgˈnɒstɪk/
histogram,/ˌhɪstəˈgræm/
periodicity,/ˈpɛriəˌdɪsədi/
quantitative,/ˈkwɒntɪteɪtɪv/
quartile,/ˈkwɔrtɪl/
randomization,/ˌrændəmaɪˈzeɪʃən/
gingham,/ˈgɪŋəm/
eternal,/ɛˈtʌnəl/
supervise,/ˈsupəvaɪz/
adaptation,/ædæpˈteɪʃən/
fusion,/ˈfjuʒən/
iceberg,/ˈaɪsbəg/
methane,/ˈmiθeɪn/
slang,/slæŋ/
animatronics,/ænɪməˈtrɒnɪks/
globalization,/gləʊbəlɪˈzeɪʃən/
anthropomorphic,/ˌˈænθrəpəˌmɔrfɪk/
boulder,/ˈbʌʊldə/
granola,/grəˈnoʊlə/
toddle,/ˈtɒdəl/
imploringly,/ɪmˈplɔrɪŋli/
variant,/ˈvɛriɪnt/
trek,/trɛk/
animated,/ˈænɪmeɪtɪd/
reluctance,/rɪˈlʌktəns/
sarcasm,/ˈsɑkæzəm/
mood,/mud/
logical fallacy,/ˌlɑdʒəkəl ˌfæləsi/
reasoning,/ˈrizənɪŋ/
superior,/səˈpiriə/
imprison,/ɪmˈprɪzən/
merciless,/ˈmʌsɪlɪs/
nasty,/ˈnɑsti/
wisdom,/ˈwɪzdəm/
negativity,/nɛgəˈtɪvɪti/
filthy,/ˈfɪlθi/
cruel,/ˈkruəl/
disapprove,/dɪsəˈpruv/
society,/səˈsaɪəti/
manual,/ˈmænjuəl/
mania,/ˈmeɪniə/
devote,/dɪˈvʌʊt/
contamination,/kəntæmɪˈneɪʃɪn/
spiritual,/ˈspɪrɪtʃuwəl/
impolitic,/ɪmˌpɑləˈtɪk/
