word,part_of_speech,meaning,example,example_meaning,definition,ID,pronunciation
dignity,noun,nhân phẩm,"Instead, he will consider her feelings, always treating her with respect and dignity .","Thay vì thế, anh sẽ quan tâm đến cảm xúc và luôn tôn trọng nhân phẩm của vợ.","Decorum, formality, stateliness.",1,/ˈdɪgnɪti/
saunter,verb,dáng đi thơ thẩn,it won't look suspicious... when I wanna come sauntering out of the woods.,"Ừ, trông không khả nghi tí nào khi tôi đi lang thang ra khỏi rừng.","To stroll, or walk at a leisurely pace",2,/ˈsɔntə/
manuscript,noun,bản thảo,I have just read the manuscript .,Tôi vừa đọc xong bản thảo tác phẩm.,"Which is handwritten, or by extension typewritten, as opposed to mechanical reproduction",3,/ˈmænjuskrɪpt/
reside,verb,cư trú,They must travel with a national of the GCC country that issued the residence permit.,Họ phải đi cùng với một công dân của quốc gia GCC mà cấp thẻ cư trú đó.,To dwell permanently or for a considerable time; to have a settled abode for a time; to remain for a long time.,4,/rɪˈzaɪd/
sufficient,adjective,đủ,That would be sufficient .,Chắc là sẽ đủ đó.,Capable of meeting obligations; responsible.,5,/səˈfɪʃɪnt/
warrant,verb,bảo đảm,Is their optimism warranted ?,Có gì bảo đảm cho sự lạc quan của họ không?,(obsolete) A protector or defender.,6,/ˈwɒrənt/
admonition,noun,lời cảnh cáo,"The poet Rudyard Kipling wrote the following words in 1897, an admonition to the British Empire against pride:","Thi sĩ Rudyard Kipling viết những lời sau đây vào năm 1899, một lời cảnh cáo Đế Quốc Anh về sự kiêu ngạo:",Gentle or friendly reproof; counseling against fault or oversight; warning.,7,/ædməˈnɪʃən/
digress,verb,lạc đề,I digress .,Hơi lạc đề tí.,"(intransitive): To step or turn aside; to deviate; to swerve; especially, to turn aside from the main subject of attention, or course of argument, in writing or speaking.",8,/daɪˈgrɛs/
pelt,noun,da,I knew you would help me get my pelts back.,Tôi biết anh sẽ giúp tôi lấy lại mấy bộ da thú của mình.,The skin of a beast with the hair on; a raw or undressed hide; a skin preserved with the hairy or woolly covering on it.,9,/pɛlt/
reverie,noun,sự mơ màng,"Reviews for Butterfly were generally positive: Rolling Stone wrote, ""It's not as if Carey has totally dispensed with her old saccharine, Houston-style balladry but the predominant mood of 'Butterfly' is one of coolly erotic reverie .""","Các đánh giá đến Butterfly đa phần là tích cực: Rolling Stone viết rằng ""Không phải vì Carey hoàn toàn bỏ qua phong cách ngọt ngào đậm chất Houston trước đây nhưng phong thái chủ đạo của 'Butterfly' là sự mơ màng gợi tình một cách điềm tĩnh.""","A caper, a frolic; merriment.",10,/ˈrɛvəri/
bound,verb,hạn chế,They're still bounded by legal goals and principles:,Họ vẫn bị hạn chế bởi các mục tiêu và nguyên tắc pháp luật.,Simple past tense and past participle of bind.,11,/baʊnd/
