word,part_of_speech,meaning,example,example_meaning,definition
century,noun,thế kỷ,"Prior to the Flood, many humans lived for centuries .","Trước trận Nước Lụt, nhiều người đã sống hàng thế kỷ .","A period of 100 consecutive years; often specifically a numbered period with conventional start and end dates, e.g., the twentieth century, which stretches from (strictly) 1901 through 2000, or (informally) 1900 through 1999. The first century AD was from 1 to 100."
closet,noun,tủ quần áo,Promise me you won't piss in the closet this time.,Hứa với tớ rằng lần này cậu sẽ không đi tiểu trong tủ quần áo nữa nhé.,(chiefly US) A piece of furniture or a cabinet in which clothes or household supplies may be stored.
continent,noun,đại lục,"It is the capital of New South Wales, the continent’s most populous state.","Đó là thủ phủ của New South Wales, một bang đông dân nhất của đại lục này.",(obsolete) Land (as opposed to the water).
dozen,noun,tá,A dozen or so.,Khoảng 1 tá,(countable) A set of twelve.
eraser,noun,cái tẩy,"Hmm. In this case, is an eraser .",Trong trường hợp này là một cái tẩy .,A thing used to erase or remove something written or drawn by a pen or a pencil.
garage,verb,ga-ra,How did Tom get you to help him clean the garage ?,Làm thế nào mà Tom khiến cậu giúp anh ấy dọn dẹp ga - ra ?,"A building (or section of a building) used to store a car, tools and other miscellaneous items."
idea,noun,tư tưởng,"What is one source of harmful ideas , and who is behind it?","Một nguồn của tư tưởng tai hại là gì, và ai là hậu thuẫn cho nó?","(philosophy) An abstract archetype of a given thing, compared to which real-life examples are seen as imperfect approximations; pure essence, as opposed to actual examples. [from 14th c.]"
radio,verb,ra-đi-ô,MRIs use radio waves and magnetic fields to produce an image .,MRI sử dụng sóng ra - đi - ô và từ trường để tạo ra hình ảnh .,(uncountable) The technology that allows for the transmission of sound or other signals by modulation of electromagnetic waves.
spider,noun,nhện,"Spiders in this family are commonly known as sheet weavers (from the shape of their webs), or money spiders (in the United Kingdom, Ireland, Australia, New Zealand, and in Portugal, from the superstition that if such a spider is seen running on you, it has come to spin you new clothes, meaning financial good fortune).","Các loài nhện trong họ này trong tiếng Anh được gọi là "" nhện dệt tấm"" (từ hình dạng của lưới của họ), hoặc một số nước châu Âu gọi là nhện tiền (ở Vương quốc Anh, Ireland và Bồ Đào Nha, từ mê tín dị đoan rằng nếu như nhện này sa vào người, nó đã đến quay quần áo mới, có nghĩa là may mắn tài chính).","Any of various eight-legged, predatory arthropods, of the order Araneae, most of which spin webs to catch prey."
alert,adjective,cảnh giác,"He wants them to stay alert and active, as he makes clear in yet another illustration.","Ngài muốn họ cảnh giác và siêng năng, như ngài cho thấy rõ trong một minh họa khác.",Attentive; awake; on-guard.
annoying,adjective,chọc tức,He wasn’t fooled by her offer and was purposely trying to annoy her.,Anh không bị bẫy bởi lời đề nghị của cô và đang cố tình chọc tức cô.,Causing irritation or annoyance; troublesome; vexatious.
awaken,verb,thức,"* Oliver Cowdery describes these events thus: “These were days never to be forgotten—to sit under the sound of a voice dictated by the inspiration of heaven, awakened the utmost gratitude of this bosom!","* Oliver Cowdery mô tả những biến cố này như sau: “Đây là những ngày mà tôi không bao giờ có thể quên được—ngồi lắng nghe giọng đọc ra bởi sự cảm ứng của thiên thượng, làm thức tỉnh niềm biết ơn sâu xa nhất của tấm lòng này!",(transitive) To cause to become awake.
breathe,verb,thở,"Christians, breathing clean spiritual air on the elevated mountain of Jehovah’s pure worship, resist this inclination.","Tín đồ đấng Christ thở hít không khí thiêng liêng trong lành trên núi cao có sự thờ phượng thanh sạch của Đức Giê-hô-va, tất cưỡng lại khuynh hướng này.","(intransitive) To repeatedly draw air into, and expel it from, the lungs in order to extract oxygen from it and excrete waste products."
create,verb,sáng tạo,Professor Shapiro does not believe that life was created .,Giáo sư Shapiro không tin sự sống là do sáng tạo .,(transitive) To put into existence.
division,noun,phép chia,So we have to figure out a way to solve the equation without a division operator.,Nên chúng ta phải tìm cách khác để giải biểu thức này mà không được dùng phép chia .,(uncountable) The act or process of dividing anything.
emotion,noun,cảm xúc,Tom couldn't control his emotions .,Tom không thể kiềm chế cảm xúc của mình.,"A person's internal state of being and involuntary physiological response to an object or a situation, based on or tied to physical state and sensory data."
factory,noun,nhà máy,Later I obtained a job in a factory and worked nights.,"Sau đó, tôi được nhận vào làm việc ban đêm trong một nhà máy .","(obsolete) A trading establishment, especially set up by merchants working in a foreign country."
fight,verb,chiến đấu,He is possessed of a strong fighting instinct.,Anh ta có một bản năng chiến đấu mạnh mẽ.,"(intransitive) To contend in physical conflict, either singly or in war, battle etc."
furniture,noun,đồ đạc,I'm getting tired of looking at the furniture we can't afford,Tôi thấy mệt mỏi khi nhìn vào những đồ đạc mà chúng tôi không đủ khả năng dọn dẹp.,"(archaic) The harness, trappings etc. of a horse or other animal."
honest,adjective,lương thiện,I'm offering you an honest day's work for an honest day's pay.,Tôi đề nghị với cô một việc làm lương thiện để đổi lấy đồng lương lương thiện .,"(of a person or institution) Scrupulous with regard to telling the truth; not given to swindling, lying, or fraud; upright."
practice,verb,sự hành nghề,But this practice produces not pain of any kind to anyone.,Nhưng sự hành nghề này không gây ra đau đớn nào cho bất kỳ ai.,"(transitive, US) To repeat (an activity) as a way of improving one's skill in that activity."
sandwich,verb,kẹp,Mother made us cheese sandwiches for lunch.,Mẹ làm bánh mỳ kẹp phô mai cho bọn tôi ăn trưa.,A snack formed of various ingredients between two slices of bread
science,verb,Science,The Evil Science Fair is two days away.,Còn 2 ngày nữa là đến Evil Science Fair.,"A particular discipline or branch of learning, especially one dealing with measurable or systematic principles rather than intuition or natural ability. [from 14th c.]"
actually,adverb,thực sự,This sentence actually comes from Spanish.,Câu này thực sự điến từ Tây Ban Nha,(modal) In act or in fact; really; in truth; positively.
arrival,noun,đến,"He arrived half an hour late, so everyone was angry with him.","Anh ta đến trễ nửa tiếng, vì thế mọi người bực mình với anh ta.",the act of arriving or something that has arrived
borrow,verb,mượn,I'd never borrow anything of yours without asking first.,Tôi chưa bao giờ mượn bất kì thứ gì của bạn mà không hỏi trước cả.,"To receive (something) from somebody temporarily, expecting to return it."
cardboard,noun,các tông,Glue this page to heavy paper or cardboard .,Dán keo trang này lên giấy cứng hoặc bìa các tông .,"A wood-based material resembling heavy paper, used in the manufacture of boxes and signs."
castle,verb,thành trì,Your home is your castle .,Nhà của bạn là thành trì của bạn .,A large building that is fortified and contains many defences; in previous ages often inhabited by a nobleman or king.
collar,verb,cổ áo,"Like the collar of my garment, it chokes me.","Như cổ áo , nó siết chặt lấy tôi.","The part of an upper garment (shirt, jacket...) that fits around the neck and throat, especially if sewn from a separate piece of fabric."
decided,adjective,dứt khoát,He had lighted the lamp before Minnie finally decided to take the pale blue card.,Ông đã thắp đèn trước khi Minnie quyết định dứt khoát chọn mẫu thiếp màu xanh nhạt.,Simple past tense and past participle of decide.
dictionary,noun,từ điển,Nobody hugs their dictionaries .,Chẳng ai đi ôm mấy cuốn từ điển cả.,"A reference work with a list of words from one or more languages, normally ordered alphabetically and explaining each word's meaning and sometimes containing information on its etymology, usage, translations, and other data."
encounter,verb,gặp,"He was, by the way, the most liberally perfumed man I had ever encountered .","Phải nói rằng, ông ấy là người đàn ông dùng dầu thơm nhiều nhất mà tôi từng gặp .",(transitive) To meet (someone) or find (something) unexpectedly.
fault,verb,tội,"He will not for all time keep finding fault , neither will he to time indefinite keep resentful.","Ngài không bắt tội luôn luôn, cũng chẳng giữ lòng giận đến đời đời.",(geology) A fracture in a rock formation causing a discontinuity
grease,verb,bôi mỡ,We need to get something to grease his face.,Cần phải bôi mỡ lên đầu cậu ấy.,Animal fat in a melted or soft state
information,noun,thông tin,"We all had the information , it was backed up by Centra Spike...","Chúng ta nhận được thông tin , được hỗ trợ bởi Centra Spike...",Things that are or can be known about a given topic; communicable knowledge of something. [from 14th c.]
instrument,verb,công cụ,They have made me the present instrument of their wishes .,Họ đã làm cho tôi trở thành công cụ cho mong ước của họ .,A device used to produce music.
pickle,verb,giầm,"No pickles , and it's cold now.",Không có rau giầm và nó lạnh ngắt rồi.,"A cucumber preserved in a solution, usually a brine or a vinegar syrup."
shower,verb,tắm,I usually take a shower in the evening.,Tôi thường tắm vào buổi tối.,A brief fall of precipitation.
acre,noun,mẫu Anh,"But at the end of it, you've got a hundred acres of land.","Nhưng cuối cùng, bạn có 100 mẫu Anh đất.",(obsolete) A field.
ballerina,noun,nữ diễn viên ba lê,"If I had become a ballerina , it wouldn't have happened.",Nếu tôi trở thành một nữ diễn viên ba lê . Điều đó đã không xảy ra.,A female ballet dancer.
celebration,noun,lễ kỷ niệm,"▪ The Memorial celebration will be held on Tuesday, April 2, 1996.",▪ Lễ Kỷ niệm sẽ cử hành vào ngày 2 tháng 4 năm 1996 nhằm ngày Thứ Ba.,"The formal performance of a solemn rite, such as Christian sacrament"
clamp,verb,cái kẹp,So it's about a 10-story C- clamp .,Nó là 1 cái kẹp chữ C 10 tầng.,(transitive) To modify a numeric value so it lies within a specific range.
commercial,adjective,thương mại,Each year crashes involving private and commercial planes take many lives.,"Mỗi năm có các máy bay tư nhân và thương mại rơi, cướp mạng sống nhiều người.","An advertisement in a common media format, usually radio or television."
difference,verb,sai phân,The finite difference method is often regarded as the simplest method to learn and use.,Phương pháp sai phân hữu hạn thường được coi là phương pháp đơn giản nhất để học và áp dụng.,(uncountable) The quality of being different.
nervous,adjective,bực dọc,"Plus, dinner at the prefect's gets me so nervous !",Đi ăn tối ở nhà ông Quận trưởng khiến em bực dọc quá!,Easily agitated or alarmed. Being on edge or edgy.
pearl,noun,ngọc trai,The Black Pearl .,"Chiếc "" Ngọc Trai Đen ""","To give or hunt for pearls; as, to go pearling."
signal,noun,tín hiệu,We have a good signal today.,Hôm nay chúng ta có tín hiệu tốt.,An indication given to another person.
abundant,adjective,nhiều,"2:1-3) For centuries thereafter, “the true knowledge” was far from abundant not only among those who knew nothing of the Bible but also among professed Christians.","Trong nhiều thế kỷ sau, cả người không biết Kinh Thánh và người nhận mình là môn đồ Chúa Giê-su đều không có “sự hiểu biết thật”.",Fully sufficient; found in copious supply; in great quantity.
association,noun,hội,"(New York) - The Vietnam government intensified its repression of activists and dissidents during 2010, and cracked down harshly on freedom of expression, association , and assembly, Human Rights Watch said today in its World Report 2011.","(New York) - Trong năm 2010, chính quyền Việt Nam gia tăng đàn áp các nhà hoạt động và bất đồng chính kiến và thẳng tay áp chế các quyền tự do ngôn luận, nhóm họp và lập hội , theo công bố ngày hôm nay của Tổ chức Theo dõi Nhân quyền trong Báo cáo Tình hình Thế giới 2011.",The act of associating.
bury,verb,chôn,He’d asked to be buried with a copy of Religio Medici.,Ông đã từng đề nghị được chôn chung với một bản Religio Medici.,To ritualistically inter a corpse in a grave or tomb. (see burial)
climb,verb,leo,"On the other hand, one might have enormous confidence with regard to rock climbing , yet set such a high standard, and base enough of self-worth on rock- climbing skill, that self-esteem is low.","Mặt khác, người ta có thể có sự tự tin rất lớn đối với việc leo núi, nhưng đặt ra một tiêu chuẩn cao, và cơ sở đủ giá trị về kỹ năng leo núi, lòng tự trọng đó thấp.",(intransitive) To ascend; rise; to go up.
clumsy,adjective,vụng,I'm so clumsy and stupid and not nearly good enough for you.,Tôi vụng về và ngốc nghếch chẳng thích hợp với cô.,"Not elegant or well-planned, lacking tact or subtlety"
doubt,Verb,nghi ngờ,Tom doubts if Mary will keep her promise.,Tom nghi ngờ liệu Mary sẽ giữ lời hứa.,"To lack confidence in; to disbelieve, question, or suspect."
expect,Verb,mong đợi,I could not catch as many fish as I had expected .,Tôi không bắt được đủ số cá như mong đợi .,"To look for (mentally); to look forward to, as to something that is believed to be about to happen or come; to have a previous apprehension of, whether of good or evil; to look for with some confidence; to anticipate; -- often followed by an infinitive, sometimes by a clause (with, or without, that)."
harvest,verb,thu hoạch,The rice crop was harvested .,Lúa đã được thu hoạch .,"The process of harvesting, gathering the ripened crop."
intelligent,adjective,thông minh,That means intelligent people are in this angle. That is intelligence .,Nghĩ là những người thông minh nằm trong góc này. Đó là sự thông minh .,"of high or especially quick cognitive capacity, bright."
jungle,noun,rừng,Hunters living in the dense understorey of the jungle come in all shapes and sizes.,Các kẻ săn mồi sống dưới tán rừng dầy đặc đến với nhiều hình dạng kích thước.,"A large, undeveloped, humid forest, especially in a tropical region, that is home to many wild plants and animals."
limit,adjective,hạn,Please don't limit your opinions just to 'Yes' or 'No'.,"Xin dừng giới hạn ý kiến của bạn ở ""Có"" hoặc ""Không"".",(transitive) To restrict; not to allow to go beyond a certain bound.
university,noun,trường đại học,How far is it to this university ?,Đến trường đại học này bao xa?,"Institution of higher education (typically accepting students from the age of about 17 or 18, depending on country, but in some cases able to take younger students in exceptional cases) where subjects are studied and researched in depth and degrees are offered."
altitude,noun,cao độ,Rescue equipment is being rushed to the high altitude area .,Thiết bị cứu hộ đang được gấp rút đưa khu vực cao độ .,A vertical distance.
boundary,noun,biên giới,And you can see it against the boundaries of modern China.,Và các bạn có thể thấy nó khác với biên giới của Trung quốc hiện đại.,The dividing line or location between two areas.
cabbage,noun,cải bắp,"Yee, for we villagers, cabbage has special meaning.","Yee àh, với những người làng quê chúng ta, cải bắp có ý nghĩa hết sức đặc biệt.",An edible plant (Brassica oleracea var. capitata) having a head of green leaves.
daughter,noun,con gái,How tall do you think my daughter will be in three years?,Bạn nghĩ là trong ba năm tới con gái tôi sẽ cao đến đâu?,One’s female child.
delayed,adjective,bị chậm,I assume that the next shipment will be delayed .,Tôi cho rằng chuyến hàng tiếp sẽ bị chậm trễ.,Simple past tense and past participle of delay.
engineer,noun,kỹ sư,My understanding from our engineers ...,Theo những gì ta biết từ kỹ sư của chúng ta...,A person who is qualified or professionally engaged in any branch of engineering.
idol,noun,thần tượng,"Okay, well, God forbade false idols , right?","Được rồi, thì, Chúa đã cấm những thần tượng sai trái, phải không?","A graven image or representation of anything that is revered, or believed to convey spiritual power."
illustration,noun,sự minh hoạ,But it 's even better to answer a question through illustration .,Nhưng thậm chí tốt hơn nữa là nên trả lời con bằng sự minh hoạ .,"The act of illustrating; the act of making clear and distinct; education; also, the state of being illustrated, or of being made clear and distinct."
individual,noun,cá nhân,"So now individual change and cultural change mutually fashion each other,",Sự thay đổi cá nhân và biến đổi văn hóa tạo ra nhau.,"A person considered alone, rather than as belonging to a group of people."
innocent,adjective,vô tội,What strikes me most about her is her innocence .,Thứ đập vào mắt tôi về cô ấy là sự vô tội của cô ấy.,"Free from guilt, sin, or immorality."
meadow,noun,đồng cỏ,"Like the life cycle of livestock, which may never see a meadow .",Như vòng đời của những vật nuôi chưa bao giờ trông thấy một đồng cỏ .,"A field or pasture; a piece of land covered or cultivated with grass, usually intended to be mown for hay; an area of low lying vegetation, especially near a river."
microphone,verb,micrô,"Then when you read, your voice will go directly into the microphone .","Như vậy khi đọc, tiếng của bạn sẽ đi thẳng vào micrô .",A device (transducer) used to convert sound waves into a varying electric current; normally fed into an amplifier and either recorded or broadcast.
ordinary,adjective,bình thường,She is just an ordinary girl.,Cô ta chỉ là một cô gái bình thường,(law) Having regular jurisdiction (of a judge; now only used in certain phrases).
brilliant,adjective,sáng chói,Brilliant .,Sáng chói .,(of a colour) both light and saturated
concentration,noun,nồng độ,"And not only that, when you cut emissions, you don't cut concentrations ,","Và không chỉ có vậy, khi bạn cắt lượng khí thải, bạn không cắt giảm nồng độ .",The proportion of a substance in a mixture.
delicious,adjective,ngon,All this food is n't just delicious .,Tất cả các thức ăn này không chỉ đem lại cảm giác ngon miệng .,Pleasing to taste; tasty.
description,noun,sự mô tả,The scenery was beautiful beyond description .,Phong cảnh đẹp hơn cả sự mô tả .,A sketch or account of anything in words; a portraiture or representation in language; an enumeration of the essential qualities of a thing or species.
language,noun,ngôn ngữ,Some languages take consideration of some special types of constructors.,Một vài ngôn ngữ còn xem xét một số loại hàm tạo đặc biệt.,"(countable) A form of communication using words either spoken or gestured with the hands and structured with grammar, often with a writing system."
nurture,verb,nuôi nấng,What is important is that you love and nurture her.,Điều quan trọng là con yêu thương và nuôi nấng nó,The act of nourishing or nursing; tender care; education; training.
opposite,adjective,đối diện,"The city is located in southeastern Mindanao, on the northwestern shore of Davao Gulf, opposite Samal Island.","Thành phố nằm tại phần đông nam của Mindanao, bên bờ vịnh Davao, đối diện với đảo Samal.","located directly across from something else, or from each other"
unusual,adjective,bất thường,"Nothing unusual , really.",Không có gì bất thường cả.,Unlike what is expected; differing in some way from the norm.
abbreviation,noun,chữ viết tắt,"The abbreviation ""HZE"" comes from high (H) atomic number (Z) and energy (E).","Chữ viết tắt ""HZE"" xuất phát từ số nguyên tử (Z) cao (H) và năng lượng (E).","A shortened or contracted form of a word or phrase, used to represent the whole: Dr."
amusement,noun,hài hước,"He stated it was ""pretty amusing with a tinge of adult humor.""","Ông nói rằng game ""khá hài hước với vẻ hóm hỉnh của người lớn.""",(uncountable) Entertainment
atmosphere,noun,khí quyển,Their rotting corpses heating our atmosphere .,Những cái xác thối rữa nung nóng bầu khí quyển của chúng ta.,The gases surrounding the Earth or any astronomical body.
bulletin,verb,thông cáo,What observation does the Rylands Bulletin make about the resurrected Jesus?,Tờ “ Thông cáo ” của Rylands nhận xét thế nào về Giê-su sau khi ngài được sống lại?,"A short report, especially one released through official channels to be broadcast or publicized"
capsule,noun,quả nang,"Fertilized flowers mature to form an egg shaped, two-parted seed capsule .","Hoa đã thụ phấn phát triển để trở thành quả nang hình trứng, hai phần.",(physiology) A membranous envelope.
humility,noun,sự nhún nhường,"And thirdly, we need to have some humility .","Và thứ ba, chúng ta cần có sự nhún nhường .",The characteristic of being humble; humbleness in spirit and deportment.
mysterious,adjective,thần bí,There are mysteries .,thì là điều thần bí .,Of unknown origin.
nourish,verb,nuôi,"You can create a climate to foster growth, nourish , and protect; but you cannot force or compel: you must await the growth” (“Candle of the Lord,” Ensign, Jan. 1983, 53).","Các anh chị em có thể tạo ra một bầu không khí để thúc đẩy sự tăng trưởng, nuôi dưỡng và bảo vệ; nhưng các anh chị em không thể ép buộc hay cưỡng chế: các anh chị em phải chờ đợi sự tăng trưởng” (“Candle of the Lord,” Ensign, tháng Giêng năm 1983, 53).",(obsolete) A nurse.
oxygen,noun,ôxy,Your tank is out of oxygen but you still have it in your suit.,"Bình đã hết ôxy , nhưng cô vẫn còn trong bộ áo.",A chemical element (symbol O) with an atomic number of 8 and relative atomic mass of 15.9994.
panicked,adjective,,I panicked .,Anh hoảng sợ .,Simple past tense and past participle of panic.
postage,noun,bưu phí,The glue on Israeli postage is certified kosher .,Lớp keo dán trên bưu phí của người Do Thái được công nhận là đúng luật .,The charge for posting an item
receipt,verb,Số thu,"Personal income-tax receipts rose from US$719 million in 1921 to over US$1 billion in 1929, an average increase of 4.2% per year over an 8-year period, which supporters attribute to the rate cut.","Số thu thuế thu nhập cá nhân đã tăng từ 719 triệu USD vào năm 1921 tới trên 1 tỷ USD vào năm 1929, với mức tăng trung bình 4,2% một năm trong giai đoạn 8 năm, được những người ủng hộ quy cho là vì cắt giảm thuế.","The act of receiving, or the fact of having been received"
resigned,adjective,cam chịu,He resigned himself to spending a boring evening.,Anh ta đành cam chịu một buổi tối chán nản.,Characterized by resignation or acceptance.
accumulation,noun,sự tích tụ,It's just like an accumulation of punishment.,Nó giống như sự tích tụ cho hình phạt.,"The act of accumulating, the state of being accumulated, or that which is accumulated"
biography,verb,Tiểu sử,The biography of this coin starts from here,Tiểu sử của đồng xu này bắt nguồn từ đây,"A person's life story, especially one published."
changeable,adjective,dễ thay đổi,Professor Smith says that Americans love to see themselves as changeable and inventive .,Giáo sư Smith nói rằng người Mỹ thích tự coi mình là người dễ thay đổi và sáng tạo .,Capable of being changed.
cinnamon,noun,quế,"Aloes, cassia, and cinnamon were found in what is today China, India, and Sri Lanka.","Kỳ nam, cây muồng và quế được tìm thấy ở Trung Quốc, Ấn Độ và Sri Lanka.","(uncountable) A spice from the dried aromatic bark of thecinnamontree, either rolled into strips or ground into a powder. The word is commonly used as trade name for spices made of any of the species above. The product made ofCinnamomum verumis sometimes referred to as true cinnamon."
compressor,noun,máy nén,Why didn't you warn us on that compressor ?,Tại sao ông không cảnh báo chúng tôi bằng cái máy nén hơi đó?,"A device that produces pressure, such as a gas compressor that produces pressurized gas."
knit,verb,đan,Tom asked Mary if she knew how to knit .,Tom hỏi Mary xem cô ta có biết đan len không.,(transitive) and (intransitive) To turn thread or yarn into a piece of fabric by forming loops that are pulled through each other. This can be done by hand with needles or by machine.
oasis,noun,ốc đảo,"So even though they're in a desert, they get their own personal oasis .","Mặc dù chúng sống trong sa mạc, chúng cũng có ốc đảo của riêng mình.","A spring of fresh water, surrounded by a fertile region of vegetation, in a desert."
obviously,adverb,hiển nhiên,"And I thought, obviously , I haven't clicked hard enough.","Và tôi nghĩ, hiển nhiên , là do tôi nhấn chưa đủ mạnh.",In a obvious manner; clearly apparent.
pronunciation,noun,phát âm,"The local pronunciation , however, has remained Ah-LO-wa rather than Ah-LO-ha.",Tuy nhiên phát âm địa phương vẫn giữ nguyên là Ah-lowwa hơn là Ah-lo-ha.,(countable) The standard way in which a word is made to sound when spoken.
swollen,adjective,húp,Don't stare up at me with those swollen eyes!,Đừng có nhìn chằm chằm anh với đôi mắt sưng húp đó!,Past participle of swell
unfortunately,adverb,đáng tiếc,"Unfortunately , your trials have only just begun.",Đáng tiếc là thử thách của các em chỉ vừa mới bắt đầu.,"Happening through bad luck, or because of some unfortunate event."
wheeze,verb,thở khò khè,"Symptoms include wheezing , shortness of breath , coughing and chest tightness .","Triệu chứng là thở khò khè , khó thở , ho và tức ngực .",A piping or whistling sound caused by difficult respiration.
worthwhile,adjective,bõ,It is worthwhile to ponder over those instances in our own lives when people have responded.,Thật là đáng bõ công để suy ngẫm về những giây phút trong cuộc đời chúng ta khi có những người chịu đáp ứng.,"Good and important enough to spend time, effort, or money on."
jewel,verb,chân kinh,"So, where is Jewel ?",Jewel ở đâu thế?,"A precious or semi-precious stone; gem, gemstone."
miniature,adjective,bức tiểu hoạ,Miniature Golf,Miniature GolfName,A small version of something; a model of reduced scale.
nectarine,adjective,quả xuân đào,,,A cultivar of the peach distinguished by the absence of peachfuzz on the skin.
reign,verb,trị vì,"Hyrcanus’ eldest son, Aristobulus, reigned only one year before dying.","Aristobulus, con trai trưởng của Hyrcanus, trị vì chỉ được một năm rồi chết.",The exercise of sovereign power.
probability,noun,xác suất,He says it's a probability map of the universe.,Anh ấy nói đó là bản đồ xác suất của vũ trụ.,the state of being probable; likelihood
absurd,adjective,vô lý,"This conclusion is clearly absurd , but where is the flaw in the logic?","Câu kết luận rõ ràng là vô lý , nhưng đâu là sai lầm trong lý luận này?",Contrary to reason or propriety; obviously and flatly opposed to manifest truth; inconsistent with the plain dictates of common sense; logically contradictory; nonsensical; ridiculous.
jocular,adjective,buồn cười,"I simply took him off his advice, but now I fear you may be too jocular .","Nên tôi đã nghe lời khuyên của anh ấy, nhưng giờ tôi sợ là anh hơi buồn cười đấy.","(formal) Humorous, amusing or joking."
vindication,noun,sự bào chữa,"With every pull of the trigger, there was some sense of justification, some sense of vindication .","Với mỗi pha siết cò, đem đến một chút sự bào chữa , một chút sự xác minh.",the act of vindicating or the state of being vindicated
syllogism,noun,tam đoạn luận,He amends the syllogism .,Anh ta biến hình bằng SaiBlade .,"(logic) An inference in which one proposition (the conclusion) follows necessarily from two other propositions, known as the premises."
hysteria,noun,ittêri,Sounds like hysteria .,"A, nghe như bệnh rối loạn phân ly.","Behavior exhibiting excessive or uncontrollable emotion, such as fear or panic."
appurtenance,noun,sự thuộc về,"“On the Western Front,” he adds, “brothels were soon regular appurtenances of base camps . . .","Ông viết tiếp: “Ở Mặt trận Miền Tây, nhà chứa gái mãi dâm ít lâu sau trở thành những nơi phụ thuộc căn cứ quân sự...",an appendage added to something else
rouse,verb,khuấy động,"The work of spiritualism will rouse humanity... to a new, moral earnestness.",Thuyết duy tâm sẽ làm khuấy động loài người... tới một điều mới mẻ và nghiêm túc.,an official ceremony over drinks
thwarted,adjective,bị cản trở,Nothing can ever thwart that purpose.,Không gì có thể ngăn cản nổi ý định ấy.,Simple past tense and past participle ofthwart.
pragmatism,noun,chủ nghĩa thực dụng,Saint-Cyr was a stoic in an age of pragmatism and glory.,Saint - Cyr là một người khắc kỷ trong thời đại của chủ nghĩa thực dụng và vinh quang.,The pursuit of practicality over aesthetic qualities; a concentration on facts rather than emotions or ideals.
viable,adjective,có thể làm được,How do you stabilize those huge molecules that seem to be viable ?,Làm thế nào bạn có thể ổn định những phân tử khổng lồ này đó dường như có thể làm được,Able to live on its own (as for a newborn.)
demented,adjective,điên,You're demented .,Ông bị điên rồi.,Insane or mentally ill.
dissembling,noun,,Don't dissemble .,Đừng giả vờ nữa.,The action of the verb dissemble
cask,verb,thùng rượu,One with cask perched atop shoulder.,Một tên mang thùng rượu trên vai.,"A large barrel for the storage of liquid, especially of alcoholic drinks."
blistering,adjective,nghiêm khắc,Blood blisters .,Rộp máu.,Present participle of blister.
spawn,noun,trứng,That's Victoria's privileged spawn .,Đó là quả trứng ung của Victoria.,(transitive) To produce or deposit (eggs) in water.
abandon,verb,từ bỏ,Jehovah does not abandon repentant sinners.,Đức Giê-hô-va không từ bỏ những người phạm tội mà đã ăn năn.,"(transitive) To give up control of, to surrender."
katydid,noun,,The Katydid’s Remarkable Hearing,Bộ lông chim cánh cụt hoàng đế,"A type of grasshopper, scientific name Tettigoniidae."
mourn,verb,thương tiếc,But I still mourn the loss of my faithful companion.,Nhưng tôi vẫn còn thương tiếc người bạn đời trung thành của mình.,To express sadness or sorrow for; to grieve over (especially a death).
kibble,verb,nghiền sơ,"You know, eggs, water, flour, cocoa, sugar and a little dog kibble for texture.","Các cậu biết đấy, trứng đường, bột nước, ca cao... và một ít thức ăn cho chó để liên kết.",to grind something coarsely
beeline,verb,,And I'm just beelining it to a huge payday.,Và tôi nhận ra ở đây thật buồn.,A very direct or quick path or trip.
straddle,verb,giạng,"When you straddle the crossbar, you should be able to place your feet on the ground (see above).","Thanh sườn ngang phải sao cho khi đứng giạng chân qua, chân bạn chạm được mặt đất (xem hình trên).",To sit or stand with a leg on each side of something.
conjugate,adjective,biến ngôi,"Had a conjugal , I mean.","Ý tôi muốn nói là "" đi gặp vui vẻ "".","(grammar, transitive) To list the inflected forms of a verb for each person, in order, for one or more tenses."
boutique,adjective,boutique,"and the Beastie Boys' ""Paul's Boutique ""","và ""Paul's Boutique "" của Beastie Boys",Specialized in bespoke or custom-made products for clientele in a niche market.
